frame,person_id,bbox_x,bbox_y,bbox_width,bbox_height,kp_0_x,kp_1_x,kp_2_x,kp_3_x,kp_4_x,kp_5_x,kp_6_x,kp_7_x,kp_8_x,kp_9_x,kp_10_x,kp_11_x,kp_12_x,kp_13_x,kp_14_x,kp_15_x,kp_16_x,kp_0_y,kp_1_y,kp_2_y,kp_3_y,kp_4_y,kp_5_y,kp_6_y,kp_7_y,kp_8_y,kp_9_y,kp_10_y,kp_11_y,kp_12_y,kp_13_y,kp_14_y,kp_15_y,kp_16_y
0,0,2577.0,191.0,302.0,399.0,0.0,0.0,2601.354248046875,235.0074462890625,0.0,0.0,2618.279296875,229.62356567382812,0.0,0.0,2669.3955078125,255.6874542236328,2638.9638671875,267.1607360839844,2689.314208984375,297.5262451171875,2665.30322265625,325.1770935058594,2659.967529296875,332.50555419921875,2645.356201171875,347.78515625,2727.31689453125,378.18798828125,2694.889892578125,384.4169921875,2772.33837890625,463.35943603515625,2669.433349609375,474.9530334472656,2838.57080078125,541.5265502929688,2722.100830078125,548.5881958007812
0,1,722.0,230.0,221.0,383.0,922.70458984375,289.012939453125,0.0,0.0,918.5328369140625,280.4574890136719,0.0,0.0,899.0298461914062,276.6304626464844,901.6366577148438,314.6429138183594,857.14453125,307.79925537109375,897.6295166015625,368.20361328125,845.0450439453125,353.7926330566406,917.8704223632812,379.4244689941406,881.3375854492188,366.2099609375,856.7094116210938,428.5975646972656,818.8244018554688,425.72283935546875,896.9402465820312,493.5319519042969,796.5524291992188,496.62347412109375,878.610107421875,573.9706420898438,748.4368896484375,582.4033203125
1,0,2564.0,194.0,306.0,393.0,0.0,0.0,2587.316162109375,239.87451171875,0.0,0.0,2606.62744140625,235.65011596679688,0.0,0.0,2656.463134765625,263.3355407714844,2633.65869140625,271.79083251953125,2675.2431640625,306.2637023925781,0.0,0.0,2650.646240234375,336.0877685546875,0.0,0.0,2718.15478515625,379.0679931640625,2691.776611328125,384.3440246582031,2757.471435546875,465.48883056640625,2674.335205078125,477.0619812011719,2828.84130859375,541.094970703125,2722.589599609375,549.7263793945312
1,1,721.0,231.0,230.0,383.0,927.9979248046875,290.0992431640625,0.0,0.0,924.069580078125,281.8362731933594,0.0,0.0,904.9779663085938,278.54986572265625,903.923828125,317.47613525390625,862.5855712890625,308.1257019042969,901.4838256835938,371.3255310058594,851.063232421875,346.05731201171875,926.2041015625,386.6782531738281,874.7067260742188,358.1407165527344,859.5221557617188,429.32977294921875,823.3500366210938,425.7508239746094,903.032470703125,491.49725341796875,797.0452880859375,495.9936218261719,880.2809448242188,571.7008666992188,746.2967529296875,582.8887939453125
2,0,2562.0,197.0,303.0,390.0,0.0,0.0,2582.69091796875,245.09359741210938,0.0,0.0,2601.04345703125,239.76271057128906,0.0,0.0,2652.97998046875,265.9230651855469,2630.62939453125,277.4626159667969,2671.426025390625,305.0900573730469,2657.253662109375,336.61944580078125,2649.56396484375,340.5946960449219,2645.559814453125,368.2035827636719,2711.594970703125,382.65966796875,2685.67822265625,388.5825500488281,2751.563232421875,473.4287109375,2673.433837890625,483.555419921875,2825.24462890625,544.4893188476562,2724.67919921875,550.6743774414062
2,1,720.0,233.0,234.0,381.0,931.9733276367188,291.14312744140625,0.0,0.0,928.9190673828125,283.0804748535156,0.0,0.0,911.9854125976562,280.87164306640625,904.1006469726562,318.79595947265625,868.8754272460938,311.157958984375,903.090576171875,378.74896240234375,858.954345703125,358.11285400390625,928.9972534179688,387.75152587890625,892.19580078125,369.2354736328125,857.069580078125,432.7108154296875,824.7473754882812,429.6650390625,905.23095703125,493.2122497558594,798.9932250976562,498.423828125,879.3086547851562,571.0486450195312,746.0897216796875,584.17578125
3,0,2550.0,198.0,303.0,386.0,0.0,0.0,2575.016357421875,248.84437561035156,0.0,0.0,2590.342041015625,240.55731201171875,0.0,0.0,2639.8359375,261.86181640625,2626.568115234375,277.5826721191406,2667.200927734375,300.9987487792969,0.0,0.0,2638.39404296875,343.866943359375,0.0,0.0,2700.287841796875,378.79681396484375,2684.7021484375,389.21771240234375,2729.919677734375,465.5699768066406,2673.093505859375,479.9584655761719,2815.98486328125,533.0464477539062,2727.442138671875,545.582275390625
3,1,720.0,234.0,235.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,919.8642578125,280.9953918457031,907.1987915039062,321.2855529785156,877.8400268554688,314.0419616699219,910.2258911132812,379.0832824707031,860.5831909179688,357.2225341796875,934.6885986328125,389.14996337890625,882.2355346679688,366.0738830566406,858.9630737304688,433.1390075683594,831.3511962890625,429.7059326171875,905.4776000976562,493.3316955566406,801.9724731445312,498.0999450683594,877.798583984375,570.433837890625,746.1461181640625,582.8430786132812
4,0,2547.0,199.0,298.0,386.0,0.0,0.0,2570.911376953125,250.39732360839844,0.0,0.0,2584.663330078125,241.3209228515625,0.0,0.0,2633.5654296875,259.32452392578125,2619.099609375,277.1245422363281,2662.5927734375,299.6117248535156,2649.68603515625,345.1325988769531,2637.70654296875,346.6667785644531,2650.579833984375,384.47698974609375,2696.9228515625,375.58892822265625,2680.85888671875,386.88275146484375,2725.097412109375,466.8212585449219,2673.306396484375,480.8573913574219,2808.952880859375,533.8020629882812,2729.42333984375,544.1906127929688
4,1,720.0,234.0,241.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,928.5978393554688,280.6700744628906,894.9518432617188,319.16278076171875,896.1476440429688,316.10687255859375,905.5780639648438,377.61065673828125,882.6912841796875,368.4161376953125,937.7744750976562,389.13812255859375,906.060791015625,377.78729248046875,844.984375,432.8870849609375,844.1300048828125,430.15032958984375,872.3185424804688,496.6668395996094,834.1233520507812,494.6805419921875,838.5750732421875,575.0562744140625,791.9862060546875,576.4415283203125
