frame,person_id,bbox_x,bbox_y,bbox_width,bbox_height,kp_0_x,kp_1_x,kp_2_x,kp_3_x,kp_4_x,kp_5_x,kp_6_x,kp_7_x,kp_8_x,kp_9_x,kp_10_x,kp_11_x,kp_12_x,kp_13_x,kp_14_x,kp_15_x,kp_16_x,kp_0_y,kp_1_y,kp_2_y,kp_3_y,kp_4_y,kp_5_y,kp_6_y,kp_7_y,kp_8_y,kp_9_y,kp_10_y,kp_11_y,kp_12_y,kp_13_y,kp_14_y,kp_15_y,kp_16_y
0,0,2637.0,1155.0,299.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0,2675.496826171875,1189.2535400390625,0.0,0.0,2727.462890625,1215.9224853515625,2697.89111328125,1231.4326171875,2748.388916015625,1252.235595703125,2725.610595703125,1290.8441162109375,2709.408935546875,1294.2535400390625,2709.20654296875,1317.9854736328125,2787.04833984375,1337.580810546875,2754.69580078125,1345.0343017578125,2834.2880859375,1424.3177490234375,2725.262451171875,1434.5762939453125,2900.963623046875,1501.93994140625,2773.35791015625,1504.3231201171875
0,1,784.0,1186.0,221.0,388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,974.517578125,1231.750732421875,915.8961791992188,1259.9609375,958.3621215820312,1270.2384033203125,921.849853515625,1309.0780029296875,956.147705078125,1330.5257568359375,952.12646484375,1338.5643310546875,975.89794921875,1339.1571044921875,864.741943359375,1378.0224609375,903.7242431640625,1381.1024169921875,861.5335693359375,1450.9351806640625,957.55078125,1446.673095703125,808.2521362304688,1536.4508056640625,940.9844970703125,1533.0684814453125
1,0,2626.0,1167.0,301.0,385.0,0.0,0.0,0.0,0.0,0.0,0.0,2672.877685546875,1210.1358642578125,0.0,0.0,2725.94482421875,1235.4327392578125,2693.293701171875,1242.57373046875,2732.430908203125,1269.87109375,2704.106689453125,1285.197998046875,2698.976806640625,1293.546142578125,2691.284423828125,1290.7547607421875,2784.588623046875,1344.2630615234375,2751.51220703125,1348.1649169921875,2822.5048828125,1429.9102783203125,2725.322509765625,1434.063232421875,2891.515869140625,1502.253662109375,2779.333740234375,1501.077392578125
1,1,783.0,1190.0,226.0,385.0,989.3172607421875,1237.309814453125,0.0,0.0,986.6817626953125,1229.853759765625,0.0,0.0,971.2299194335938,1232.013671875,955.1404418945312,1269.728271484375,935.0057373046875,1265.4957275390625,954.84912109375,1324.6871337890625,919.5840454101562,1309.9658203125,979.9175415039062,1347.6888427734375,928.5033569335938,1325.438232421875,904.7102661132812,1384.4329833984375,883.1727905273438,1382.2900390625,961.0065307617188,1446.455322265625,858.1556396484375,1450.751953125,930.5972900390625,1532.4276123046875,808.1343383789062,1542.5855712890625
2,0,2625.0,1162.0,296.0,389.0,0.0,0.0,0.0,0.0,0.0,0.0,2660.055908203125,1204.546142578125,0.0,0.0,2710.09912109375,1230.4163818359375,2702.84130859375,1238.6141357421875,2727.8203125,1271.1353759765625,0.0,0.0,2702.851318359375,1300.772216796875,0.0,0.0,2775.85546875,1343.7476806640625,2761.71533203125,1348.534423828125,2794.877197265625,1429.277587890625,2733.3134765625,1439.83642578125,2885.66162109375,1497.0316162109375,2778.38525390625,1503.4608154296875
2,1,782.0,1190.0,230.0,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,974.7154541015625,1235.1851806640625,960.8626098632812,1275.0736083984375,937.9586791992188,1271.3746337890625,956.5530395507812,1335.4014892578125,919.0086059570312,1321.3956298828125,985.202880859375,1346.478271484375,940.8668212890625,1330.6822509765625,909.5372924804688,1387.8138427734375,885.4274291992188,1386.4248046875,965.7990112304688,1448.575927734375,854.5731811523438,1457.033935546875,936.4495849609375,1526.709716796875,801.9514770507812,1545.2537841796875
3,0,2609.0,1162.0,303.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,2637.53173828125,1200.3101806640625,0.0,0.0,2688.5302734375,1221.9554443359375,2689.871337890625,1234.8826904296875,2727.264892578125,1259.0235595703125,0.0,0.0,2705.302978515625,1300.88525390625,0.0,0.0,2756.595947265625,1338.475341796875,2751.11572265625,1348.21630859375,2780.87353515625,1425.6590576171875,2733.2841796875,1441.7156982421875,2875.85595703125,1489.1832275390625,2784.56103515625,1502.7601318359375
3,1,783.0,1193.0,233.0,383.0,997.0576782226562,1238.335693359375,0.0,0.0,995.1398315429688,1231.2978515625,0.0,0.0,981.6310424804688,1236.421875,960.2979736328125,1273.336181640625,942.2252807617188,1275.2371826171875,957.72314453125,1329.341796875,926.2027587890625,1326.654052734375,988.0182495117188,1348.416015625,957.9384155273438,1331.3389892578125,910.45556640625,1388.388427734375,890.189453125,1389.0692138671875,968.23974609375,1448.7996826171875,863.0010375976562,1455.9019775390625,925.310302734375,1532.6002197265625,809.2167358398438,1544.064453125
4,0,2607.0,1162.0,297.0,385.0,0.0,0.0,0.0,0.0,0.0,0.0,2632.162353515625,1200.70751953125,0.0,0.0,2679.311767578125,1223.2659912109375,2688.764892578125,1235.25439453125,2719.6962890625,1265.315673828125,0.0,0.0,2703.02587890625,1308.767333984375,0.0,0.0,2747.28759765625,1338.192626953125,2748.197265625,1348.1429443359375,2774.500732421875,1426.5384521484375,2737.06787109375,1444.6109619140625,2872.2890625,1488.576171875,2784.12451171875,1505.8751220703125
4,1,782.0,1194.0,238.0,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,989.4380493164062,1240.2740478515625,948.586181640625,1274.887939453125,961.703857421875,1277.859375,957.6348876953125,1336.760986328125,954.68212890625,1340.7994384765625,992.004150390625,1348.5836181640625,986.6627197265625,1341.14697265625,890.8167114257812,1388.3973388671875,901.0717163085938,1388.338134765625,916.736083984375,1457.2432861328125,912.6544189453125,1455.4425048828125,869.2093505859375,1533.755859375,876.9296875,1535.384521484375
