frame,person_id,bbox_x,bbox_y,bbox_width,bbox_height,kp_0_x,kp_1_x,kp_2_x,kp_3_x,kp_4_x,kp_5_x,kp_6_x,kp_7_x,kp_8_x,kp_9_x,kp_10_x,kp_11_x,kp_12_x,kp_13_x,kp_14_x,kp_15_x,kp_16_x,kp_0_y,kp_1_y,kp_2_y,kp_3_y,kp_4_y,kp_5_y,kp_6_y,kp_7_y,kp_8_y,kp_9_y,kp_10_y,kp_11_y,kp_12_y,kp_13_y,kp_14_y,kp_15_y,kp_16_y
0,0,728.0,236.0,222.0,374.0,913.95166015625,283.1844482421875,0.0,0.0,910.3179321289062,275.4416198730469,0.0,0.0,899.9074096679688,278.5036315917969,875.596923828125,311.2286682128906,880.3533325195312,313.280517578125,885.8641357421875,360.8347473144531,883.2546997070312,360.6947021484375,912.3455200195312,373.9171447753906,906.94140625,373.17236328125,829.4946899414062,421.25347900390625,836.0023193359375,422.1905212402344,846.8523559570312,492.70550537109375,865.2601928710938,493.8130187988281,807.3963012695312,576.4898071289062,834.0071411132812,582.4830322265625
0,1,2591.0,196.0,291.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0,2621.255615234375,243.462158203125,0.0,0.0,2662.099853515625,266.28045654296875,2629.7119140625,278.81768798828125,2696.758056640625,313.86785888671875,2644.349365234375,333.6272277832031,2670.9296875,347.45751953125,2642.69091796875,351.60919189453125,2730.93359375,368.76617431640625,2703.93701171875,377.3149108886719,2761.381103515625,453.24420166015625,2688.389404296875,459.87725830078125,2846.46337890625,540.6492919921875,2729.37744140625,542.918212890625
1,0,2569.0,192.0,304.0,403.0,2593.1767578125,263.47540283203125,2596.24462890625,253.4735565185547,0.0,0.0,2614.454345703125,246.32098388671875,0.0,0.0,2651.660400390625,268.19317626953125,2623.22314453125,282.470458984375,2692.75634765625,313.8797912597656,2638.486572265625,336.2965393066406,2676.889892578125,352.6352844238281,2639.05078125,355.5810546875,2722.495361328125,366.2647399902344,2700.34521484375,375.8153991699219,2743.656005859375,455.0603942871094,2686.94140625,462.492919921875,2830.69970703125,540.691650390625,2738.98828125,543.902587890625
1,1,726.0,240.0,230.0,370.0,919.955322265625,290.12744140625,0.0,0.0,916.0042724609375,282.2195739746094,0.0,0.0,904.8656005859375,285.4732971191406,866.1309814453125,313.023193359375,887.81494140625,320.2105407714844,877.2943725585938,358.7701416015625,894.8050537109375,366.53729248046875,911.6723022460938,367.1316833496094,917.3021240234375,374.8775939941406,817.72998046875,422.73602294921875,839.8795166015625,425.68939208984375,826.4835205078125,490.8125,890.4091186523438,493.2221984863281,768.6673583984375,573.0942993164062,867.4953002929688,581.2523803710938
2,0,725.0,239.0,235.0,371.0,924.1946411132812,293.4012451171875,0.0,0.0,920.0838623046875,285.3170471191406,0.0,0.0,908.8295288085938,288.004150390625,863.1505737304688,312.8125915527344,890.8043212890625,322.2760314941406,885.0482788085938,362.3198547363281,896.6644287109375,371.861083984375,920.7147827148438,375.0531311035156,919.145751953125,381.3797607421875,815.4168090820312,422.8692626953125,843.4992065429688,426.9366760253906,821.041259765625,488.8872375488281,901.9214477539062,491.7342224121094,752.1342163085938,563.3642578125,876.185791015625,572.7392578125
2,1,2569.0,193.0,299.0,403.0,2589.576904296875,258.3105163574219,2593.336669921875,248.4781494140625,0.0,0.0,2612.208740234375,243.577880859375,0.0,0.0,2646.522216796875,267.7392272949219,2625.06982421875,280.806884765625,2681.5927734375,309.6085510253906,2637.966552734375,330.6532897949219,2660.064697265625,335.1399841308594,2632.383544921875,340.2400207519531,2720.310791015625,368.5061950683594,2701.82568359375,377.1750183105469,2739.227783203125,458.7417907714844,2683.194580078125,465.1499938964844,2835.13720703125,543.3690185546875,2739.543212890625,544.8771362304688
3,0,725.0,243.0,235.0,368.0,923.4077758789062,302.8930969238281,0.0,0.0,919.955078125,295.1044006347656,0.0,0.0,911.6063842773438,297.2201232910156,868.912353515625,321.24676513671875,893.1234130859375,328.72515869140625,886.8773193359375,366.4504089355469,896.784423828125,373.0223388671875,921.409912109375,376.7255554199219,920.0565185546875,380.4039306640625,820.65234375,427.8420104980469,844.9527587890625,431.0346984863281,826.6550903320312,493.461181640625,895.3862915039062,495.8654479980469,759.13037109375,562.7017822265625,864.6445922851562,571.1140747070312
3,1,2554.0,214.0,301.0,379.0,2605.2451171875,272.3297119140625,2608.462646484375,262.8257141113281,0.0,0.0,2622.599853515625,258.29278564453125,0.0,0.0,2644.46484375,286.043701171875,2644.936767578125,288.5602111816406,2658.254150390625,319.95404052734375,2636.414306640625,322.7977294921875,2631.496337890625,338.0522766113281,2619.649169921875,335.0929870605469,2702.0830078125,394.68316650390625,2705.563720703125,397.58001708984375,2701.89599609375,476.606689453125,2710.35400390625,477.6895751953125,2779.296875,547.9884033203125,2791.772705078125,543.5097045898438
4,0,726.0,238.0,236.0,375.0,0.0,0.0,0.0,0.0,929.5341186523438,290.08740234375,0.0,0.0,920.406005859375,293.0975036621094,871.8270263671875,316.6285095214844,900.261474609375,326.48541259765625,891.3944702148438,365.5281677246094,901.707275390625,374.9765930175781,926.7767944335938,377.79425048828125,922.7811889648438,382.4391174316406,820.3902587890625,427.5742492675781,848.6202392578125,431.7528991699219,827.476318359375,492.5313415527344,905.5306396484375,495.8277893066406,750.5252685546875,563.2393798828125,869.5469970703125,573.1437377929688
4,1,2559.0,215.0,287.0,382.0,0.0,0.0,0.0,0.0,0.0,0.0,2613.2294921875,257.82177734375,0.0,0.0,2634.159423828125,287.61181640625,2639.98828125,287.895751953125,2652.14306640625,330.65472412109375,2639.164794921875,331.0560302734375,2635.1513671875,367.1161804199219,2627.09912109375,363.0588684082031,2690.7392578125,397.1466979980469,2697.202880859375,399.0653991699219,2695.890869140625,478.7302551269531,2698.473388671875,478.9009094238281,2775.420166015625,552.3652954101562,2777.273681640625,547.0263061523438
5,0,726.0,236.0,241.0,377.0,942.2720336914062,296.24237060546875,0.0,0.0,938.6718139648438,288.06378173828125,0.0,0.0,928.8882446289062,290.37420654296875,881.0930786132812,315.3006896972656,907.2018432617188,324.1446533203125,898.8665161132812,366.631591796875,909.7823486328125,374.1492919921875,933.615478515625,379.84954833984375,930.8796997070312,382.61077880859375,824.9362182617188,426.1802062988281,850.1803588867188,429.9797058105469,836.5803833007812,492.9632568359375,904.5884399414062,496.33294677734375,756.3905029296875,561.44970703125,859.5711669921875,571.708984375
5,1,2604.0,244.0,220.0,344.0,2628.3818359375,284.62750244140625,2631.80126953125,276.5565490722656,0.0,0.0,2643.343505859375,276.06365966796875,0.0,0.0,2655.730224609375,306.2283935546875,2657.302490234375,305.2496643066406,2648.599609375,348.8641357421875,2637.224853515625,346.52001953125,2621.930419921875,382.4063415527344,2617.427490234375,381.02117919921875,2686.56884765625,404.91461181640625,2690.2734375,405.1169738769531,2690.343505859375,481.18231201171875,2694.127685546875,480.69781494140625,2738.084716796875,546.8946533203125,2745.851806640625,541.7085571289062
5,2,2608.0,246.0,126.0,329.0,2630.234375,285.7970275878906,2632.93798828125,278.6664733886719,0.0,0.0,2641.78857421875,277.0967712402344,0.0,0.0,2657.2197265625,302.9630126953125,2662.86328125,302.0482177734375,2647.260986328125,351.95025634765625,2645.737060546875,347.7958984375,2621.5712890625,376.1316833496094,2622.46484375,370.30645751953125,2688.940185546875,388.036376953125,2692.97412109375,387.35711669921875,2673.677978515625,461.93994140625,2684.84375,461.2679138183594,2688.992919921875,538.9417114257812,2698.0849609375,533.1984252929688
6,0,726.0,235.0,241.0,379.0,942.4666748046875,296.27410888671875,0.0,0.0,938.8857421875,288.0873718261719,0.0,0.0,929.038330078125,290.3981018066406,881.2516479492188,314.89947509765625,907.223388671875,323.9866638183594,899.397705078125,366.01483154296875,909.1492919921875,373.8197326660156,933.7792358398438,378.77227783203125,930.093994140625,381.4596862792969,824.6424560546875,425.5948486328125,850.0233764648438,429.4684753417969,835.8792114257812,492.9561767578125,905.2830810546875,496.38177490234375,755.1723022460938,561.9187622070312,860.7705078125,572.2489624023438
6,1,2604.0,245.0,220.0,343.0,2628.530029296875,284.79229736328125,2631.964599609375,276.6777038574219,0.0,0.0,2643.475830078125,276.10736083984375,0.0,0.0,2655.86474609375,306.32891845703125,2656.958984375,305.48565673828125,2649.019287109375,349.1686706542969,2637.115478515625,347.0252990722656,2622.336669921875,383.3320617675781,2617.517822265625,382.05364990234375,2687.0478515625,405.2942199707031,2690.428955078125,405.5973815917969,2690.7099609375,481.5720520019531,2694.323974609375,481.1627197265625,2739.372314453125,547.1222534179688,2746.967529296875,542.0410766601562
6,2,2608.0,247.0,126.0,327.0,2630.467529296875,286.0748291015625,2633.1806640625,278.941162109375,0.0,0.0,2642.00244140625,277.39398193359375,0.0,0.0,2657.74755859375,303.2654113769531,2662.083251953125,302.45831298828125,2648.738525390625,352.0718078613281,2644.810302734375,348.05963134765625,2623.531494140625,376.6732482910156,2621.776123046875,370.97979736328125,2688.9248046875,388.1309509277344,2692.24609375,387.487060546875,2673.938720703125,461.7744140625,2684.135986328125,461.11798095703125,2689.231689453125,538.2202758789062,2697.217041015625,532.5419921875
7,0,727.0,234.0,244.0,381.0,950.9898681640625,288.60369873046875,0.0,0.0,947.8421630859375,280.2685546875,0.0,0.0,936.9610595703125,285.13946533203125,878.2002563476562,311.133544921875,917.1151123046875,324.880126953125,885.6234130859375,361.36334228515625,924.7882690429688,378.5298767089844,922.5944213867188,373.41278076171875,940.6235961914062,389.3725891113281,822.0454711914062,424.7856140136719,855.5226440429688,430.3481140136719,833.0328979492188,496.67529296875,909.0589599609375,501.7738037109375,747.67431640625,565.9762573242188,858.4446411132812,578.4442749023438
7,1,2602.0,249.0,127.0,288.0,2632.094482421875,288.77276611328125,2635.348388671875,281.79754638671875,0.0,0.0,2643.53759765625,279.70501708984375,0.0,0.0,2661.61767578125,301.65216064453125,2652.2861328125,302.5330810546875,2658.2158203125,349.1663818359375,2631.939208984375,347.42755126953125,2637.6015625,377.2181091308594,2613.910888671875,372.54071044921875,2689.844970703125,380.41168212890625,2685.1728515625,380.6197204589844,2679.90087890625,450.7350769042969,2678.128662109375,450.51226806640625,2697.2158203125,523.1007080078125,2689.8427734375,518.1047973632812
8,0,726.0,234.0,252.0,381.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,947.6348266601562,287.2930908203125,892.913330078125,311.7538757324219,924.3453369140625,322.7403259277344,904.7158203125,362.25421142578125,926.650146484375,373.34075927734375,937.5460815429688,380.4281311035156,945.6943359375,388.3652648925781,837.1919555664062,422.3834533691406,864.4471435546875,426.6669921875,838.76220703125,497.6480407714844,898.2913818359375,501.4052734375,759.4466552734375,563.95947265625,846.2683715820312,575.0494995117188
8,1,2585.0,236.0,132.0,271.0,2609.11669921875,286.36065673828125,2612.621337890625,279.1885986328125,0.0,0.0,2621.79052734375,277.27130126953125,0.0,0.0,2639.662109375,300.4552917480469,2636.288818359375,300.2625732421875,2640.714111328125,347.82568359375,2627.448486328125,345.67669677734375,2620.693359375,382.6121520996094,2611.10791015625,375.8700866699219,2672.964111328125,378.7313537597656,2672.3623046875,378.6087951660156,2659.510009765625,444.0912780761719,2660.097900390625,443.36767578125,2670.405029296875,507.8202209472656,2666.796630859375,501.7171630859375
9,0,727.0,238.0,258.0,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,949.929931640625,294.5955505371094,903.0921020507812,318.7098388671875,925.335693359375,325.7799072265625,916.3125,366.7460021972656,928.1117553710938,372.0247802734375,947.3612670898438,378.525390625,950.2334594726562,382.43084716796875,848.1732177734375,425.97900390625,866.0830688476562,428.4209289550781,853.7845458984375,500.6170654296875,882.2337646484375,502.6767883300781,784.6598510742188,564.3213500976562,822.3182373046875,572.7083740234375
9,1,2567.0,241.0,142.0,269.0,2604.185546875,284.464111328125,2607.5478515625,277.87567138671875,0.0,0.0,2616.105712890625,275.57305908203125,0.0,0.0,2638.875732421875,296.97088623046875,2624.940185546875,298.9129333496094,2642.98876953125,342.4946594238281,2608.633544921875,342.9021911621094,2622.736572265625,376.9857482910156,2588.906494140625,372.8533935546875,2666.4345703125,368.88958740234375,2657.473876953125,369.3009948730469,2650.92333984375,433.86248779296875,2648.36083984375,434.14404296875,2667.553955078125,497.5553894042969,2661.75732421875,492.9684143066406
10,0,726.0,236.0,266.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,954.7916259765625,287.8083190917969,911.061767578125,316.2435302734375,931.474853515625,324.07757568359375,915.7884521484375,365.40765380859375,936.8118896484375,372.3684387207031,941.8873901367188,379.8248596191406,959.5624389648438,383.73193359375,857.9337158203125,424.92730712890625,873.0546264648438,428.1245422363281,861.03466796875,500.58465576171875,880.328857421875,503.7600402832031,799.6970825195312,562.9998168945312,818.536865234375,571.8264770507812
10,1,2538.0,223.0,217.0,374.0,0.0,0.0,2564.69580078125,264.61187744140625,0.0,0.0,2574.545166015625,260.04541015625,0.0,0.0,2599.657470703125,286.9139404296875,2610.486572265625,283.95831298828125,2604.33251953125,340.4354553222656,2603.826416015625,336.4134826660156,2566.374755859375,382.5543518066406,2573.23486328125,379.3284606933594,2662.287109375,388.2105407714844,2670.529052734375,387.91265869140625,2640.187744140625,474.81317138671875,2645.1025390625,473.14215087890625,2708.7333984375,551.6483154296875,2711.802978515625,543.5110473632812
11,0,728.0,240.0,269.0,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,954.77783203125,292.9813537597656,916.1470336914062,321.6490478515625,926.3833618164062,327.4100646972656,931.2975463867188,372.1726379394531,932.0470581054688,376.3363037109375,966.9251098632812,387.57843017578125,966.9799194335938,388.7126770019531,860.6618041992188,430.2843322753906,869.01806640625,432.8211364746094,866.5641479492188,505.14508056640625,878.243408203125,507.3292236328125,798.3922729492188,564.288330078125,810.846435546875,572.47998046875
11,1,2541.0,230.0,216.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,2578.186279296875,260.74462890625,0.0,0.0,2601.111328125,291.38311767578125,2618.689697265625,286.9256896972656,2606.530517578125,336.98809814453125,2617.48876953125,329.6329650878906,2577.536865234375,363.84130859375,2586.630126953125,357.48095703125,2654.962158203125,392.8709411621094,2668.303466796875,390.9133605957031,2648.826171875,479.84283447265625,2653.09130859375,476.83978271484375,2704.046630859375,552.4417724609375,2706.995849609375,544.0491333007812
12,0,728.0,240.0,269.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,954.1646728515625,293.0009765625,916.0859375,321.7144775390625,925.9003295898438,327.2740478515625,931.7345581054688,372.1887512207031,931.9498291015625,376.1327819824219,967.9102783203125,387.6971130371094,967.3242797851562,388.7961120605469,860.9403686523438,430.15765380859375,868.9016723632812,432.6285400390625,867.6405029296875,505.0546875,878.1845703125,507.1637878417969,799.4647827148438,564.2449951171875,810.1781005859375,572.338623046875
12,1,2541.0,230.0,216.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,2577.853271484375,260.82623291015625,0.0,0.0,2600.60791015625,291.5562744140625,2618.9375,286.7882995605469,2605.897216796875,336.9326171875,2617.75732421875,329.0687561035156,2577.378662109375,363.8190002441406,2586.67138671875,357.1797180175781,2654.8154296875,392.7331848144531,2668.639892578125,390.6319274902344,2648.455078125,479.5861511230469,2652.99560546875,476.4361267089844,2703.910888671875,552.2296142578125,2707.23095703125,543.6646118164062
13,0,732.0,242.0,274.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,964.5757446289062,299.8987121582031,926.7620849609375,325.42388916015625,931.8766479492188,328.9543762207031,938.3990478515625,373.2657470703125,930.4300537109375,374.10791015625,971.31103515625,391.15478515625,963.54541015625,390.73822021484375,869.9449462890625,430.69464111328125,874.8270263671875,432.1674499511719,873.6358642578125,505.9342041015625,881.421142578125,507.1112976074219,803.7845458984375,565.364990234375,814.5175170898438,572.1605834960938
13,1,2518.0,243.0,228.0,342.0,0.0,0.0,0.0,0.0,0.0,0.0,2585.3544921875,275.16058349609375,0.0,0.0,2596.415283203125,301.1302185058594,2625.882080078125,294.89166259765625,2577.30419921875,340.06939697265625,2614.273681640625,329.6998291015625,2552.3701171875,350.143798828125,2576.3603515625,344.4871826171875,2631.00927734375,397.9458312988281,2651.595947265625,395.3681945800781,2620.871826171875,475.7928466796875,2634.897705078125,473.1857604980469,2676.841064453125,545.9133911132812,2691.1337890625,537.812255859375
