frame,0_x,0_y,0_z,0_visibility,1_x,1_y,1_z,1_visibility,2_x,2_y,2_z,2_visibility,3_x,3_y,3_z,3_visibility,4_x,4_y,4_z,4_visibility,5_x,5_y,5_z,5_visibility,6_x,6_y,6_z,6_visibility,7_x,7_y,7_z,7_visibility,8_x,8_y,8_z,8_visibility,9_x,9_y,9_z,9_visibility,10_x,10_y,10_z,10_visibility,11_x,11_y,11_z,11_visibility,12_x,12_y,12_z,12_visibility,13_x,13_y,13_z,13_visibility,14_x,14_y,14_z,14_visibility,15_x,15_y,15_z,15_visibility,16_x,16_y,16_z,16_visibility,17_x,17_y,17_z,17_visibility,18_x,18_y,18_z,18_visibility,19_x,19_y,19_z,19_visibility,20_x,20_y,20_z,20_visibility,21_x,21_y,21_z,21_visibility,22_x,22_y,22_z,22_visibility,23_x,23_y,23_z,23_visibility,24_x,24_y,24_z,24_visibility,25_x,25_y,25_z,25_visibility,26_x,26_y,26_z,26_visibility,27_x,27_y,27_z,27_visibility,28_x,28_y,28_z,28_visibility,29_x,29_y,29_z,29_visibility,30_x,30_y,30_z,30_visibility,31_x,31_y,31_z,31_visibility,32_x,32_y,32_z,32_visibility
0,0.7436884641647339,0.1827758550643921,-0.22015465795993805,0.996150016784668,0.7438733577728271,0.16390633583068848,-0.2512604594230652,0.9944940209388733,0.744296133518219,0.16195344924926758,-0.2513732314109802,0.9947475790977478,0.7447224855422974,0.1600387990474701,-0.25145700573921204,0.9954994320869446,0.7434418797492981,0.16590537130832672,-0.20174990594387054,0.9903252124786377,0.7435166835784912,0.16542711853981018,-0.2017923891544342,0.9864481687545776,0.7435861229896545,0.16500020027160645,-0.20202678442001343,0.9882171750068665,0.7480219602584839,0.15190839767456055,-0.280720591545105,0.9962725639343262,0.7463736534118652,0.1570199728012085,-0.05089699476957321,0.9912919402122498,0.7460789680480957,0.1909591555595398,-0.21996238827705383,0.9971977472305298,0.7456483840942383,0.19400575757026672,-0.1545250564813614,0.9954997897148132,0.7600679397583008,0.2008054405450821,-0.34220027923583984,0.999957799911499,0.75013667345047,0.21352140605449677,0.1140471026301384,0.9998056292533875,0.7554222345352173,0.3000204563140869,-0.6131510138511658,0.9482324719429016,0.7505725026130676,0.29111796617507935,0.1984192579984665,0.1955491155385971,0.7445400357246399,0.2930290997028351,-0.7858561277389526,0.9200845956802368,0.7502960562705994,0.33843761682510376,0.12082508206367493,0.21822689473628998,0.7429260015487671,0.3085508942604065,-0.8521764278411865,0.9072526693344116,0.750012218952179,0.36022746562957764,0.10820691287517548,0.21172665059566498,0.7425330281257629,0.3010841906070709,-0.844476580619812,0.8993955850601196,0.7500014305114746,0.35343867540359497,0.08032074570655823,0.21565812826156616,0.7436860799789429,0.2963228225708008,-0.7833679914474487,0.8021615743637085,0.7499808073043823,0.34510812163352966,0.10506337136030197,0.22607868909835815,0.7686711549758911,0.4270293414592743,-0.1195964589715004,0.9994364380836487,0.7569100856781006,0.4375198781490326,0.11938507109880447,0.9997586607933044,0.7825937271118164,0.5871303677558899,-0.3713090717792511,0.9869177937507629,0.7492639422416687,0.5720111131668091,-0.39448845386505127,0.9927640557289124,0.7999469637870789,0.7155616879463196,-0.2315138876438141,0.9896361231803894,0.7640798091888428,0.7358302474021912,-0.2073449045419693,0.9955238103866577,0.8047949075698853,0.7216557264328003,-0.23022495210170746,0.8461636304855347,0.7693558931350708,0.7596045732498169,-0.1990424394607544,0.9851967096328735,0.8003355860710144,0.7859323024749756,-0.4641803205013275,0.9838523864746094,0.7607347965240479,0.793932318687439,-0.3871462643146515,0.9928828477859497
1,0.7373613715171814,0.18114890158176422,0.012031402438879013,0.996471107006073,0.7373533844947815,0.16309835016727448,-0.030472181737422943,0.9949652552604675,0.7377466559410095,0.16111749410629272,-0.030584070831537247,0.9952058792114258,0.7381566762924194,0.1591876894235611,-0.030659712851047516,0.9958832859992981,0.7370890378952026,0.1640508621931076,0.03177503123879433,0.9911758899688721,0.7372403740882874,0.1627853959798813,0.031747687608003616,0.9876648783683777,0.7373983860015869,0.16147580742835999,0.03164402022957802,0.9892553687095642,0.7414341568946838,0.1486237496137619,-0.14115311205387115,0.9966120719909668,0.7403274178504944,0.1490892469882965,0.144203320145607,0.9919893145561218,0.7398073673248291,0.18695135414600372,-0.02191392332315445,0.9974010586738586,0.7396084666252136,0.18835942447185516,0.05962775647640228,0.995778501033783,0.7533919215202332,0.19017243385314941,-0.2858012616634369,0.999958872795105,0.747414767742157,0.19866035878658295,0.31336233019828796,0.9997771978378296,0.7495372295379639,0.298046350479126,-0.29728963971138,0.9505637884140015,0.7467799782752991,0.2911941409111023,0.39066821336746216,0.18525654077529907,0.7419843673706055,0.2975369095802307,-0.04173216596245766,0.9207381010055542,0.7438042759895325,0.30487123131752014,0.30267295241355896,0.21034550666809082,0.7401438355445862,0.31149283051490784,-0.0426192544400692,0.9056587815284729,0.7431938648223877,0.3220171332359314,0.3063198924064636,0.20649737119674683,0.7398498058319092,0.30248504877090454,-0.04793225973844528,0.8978896737098694,0.7431543469429016,0.3088887631893158,0.28906363248825073,0.2097887545824051,0.7410715818405151,0.2971491813659668,-0.03120296820998192,0.8034640550613403,0.743495762348175,0.30332574248313904,0.28779640793800354,0.21999382972717285,0.7645944356918335,0.423397421836853,-0.15484338998794556,0.999462366104126,0.7569810152053833,0.43475332856178284,0.1547246128320694,0.9997639060020447,0.7771822214126587,0.5865612030029297,-0.33271127939224243,0.987757682800293,0.7481358051300049,0.5732105374336243,-0.11382980644702911,0.9921790361404419,0.7964404821395874,0.7098295092582703,-0.23922869563102722,0.9903001189231873,0.76438969373703,0.7374340891838074,0.006575757171958685,0.9951487183570862,0.8012197017669678,0.7135642766952515,-0.23748396337032318,0.8570142984390259,0.7697142958641052,0.764491617679596,0.011087344028055668,0.98393315076828,0.7981042265892029,0.7898184061050415,-0.4211936891078949,0.9848818778991699,0.7572354078292847,0.7957916855812073,-0.10692831128835678,0.9923474788665771
2,0.734833836555481,0.17218264937400818,0.03185199573636055,0.99680095911026,0.7344851493835449,0.15317541360855103,-0.019828462973237038,0.9954487085342407,0.7347435355186462,0.15137776732444763,-0.019948063418269157,0.9956671595573425,0.7350029945373535,0.14964602887630463,-0.020060710608959198,0.9962760806083679,0.7346740961074829,0.15227322280406952,0.047089118510484695,0.9920229315757751,0.7349913120269775,0.15015089511871338,0.04712899029254913,0.9888546466827393,0.7353176474571228,0.1480109691619873,0.04705524072051048,0.9902811050415039,0.738320529460907,0.13670198619365692,-0.15522637963294983,0.9969432950019836,0.7388601899147034,0.13205957412719727,0.14953714609146118,0.9927406907081604,0.7374172210693359,0.17659209668636322,-0.00921847764402628,0.997645378112793,0.7375981211662292,0.1765102595090866,0.0782964900135994,0.9961695671081543,0.7486582398414612,0.18601511418819427,-0.28678521513938904,0.9999623894691467,0.7484986186027527,0.17819269001483917,0.3371574580669403,0.9997774362564087,0.7495637536048889,0.3146481215953827,-0.4385877251625061,0.9546345472335815,0.7522842288017273,0.2896617650985718,0.38830330967903137,0.17419858276844025,0.7435774803161621,0.3053583800792694,-0.3448888063430786,0.9259202480316162,0.7494983077049255,0.31338343024253845,0.246987983584404,0.1970798373222351,0.7417793273925781,0.31802940368652344,-0.3824576139450073,0.9107086062431335,0.7489644885063171,0.3302238881587982,0.24919649958610535,0.19543790817260742,0.7413967251777649,0.30357158184051514,-0.3717189133167267,0.9035494923591614,0.748454213142395,0.3201836049556732,0.21723343431949615,0.19830715656280518,0.7421349883079529,0.3023588955402374,-0.3348090946674347,0.8147751688957214,0.7486284375190735,0.31408464908599854,0.22619934380054474,0.20821678638458252,0.7634156346321106,0.4231441020965576,-0.201939195394516,0.9995033144950867,0.7570906281471252,0.4311074912548065,0.20196224749088287,0.9997681975364685,0.7722975611686707,0.5892999172210693,-0.3132701516151428,0.9888158440589905,0.7507871389389038,0.5795875191688538,0.09017417579889297,0.9909858703613281,0.7962156534194946,0.7050677537918091,-0.22184069454669952,0.9910765290260315,0.7659668922424316,0.7434520721435547,0.16899539530277252,0.9947704076766968,0.8015851378440857,0.7034792304039001,-0.21623800694942474,0.8697461485862732,0.7708856463432312,0.7705888748168945,0.16918092966079712,0.9830912947654724,0.7977738976478577,0.790435791015625,-0.35244378447532654,0.9860479831695557,0.7581772208213806,0.801028847694397,0.05618772283196449,0.9919220805168152
3,0.7277705669403076,0.14833801984786987,0.16042830049991608,0.9970704913139343,0.7261037230491638,0.12528976798057556,0.11059197038412094,0.9958634972572327,0.7262353301048279,0.12398321181535721,0.11052994430065155,0.9960603713989258,0.7264315485954285,0.12299913913011551,0.11049140989780426,0.9966155290603638,0.726313054561615,0.12374649196863174,0.1771131157875061,0.992749035358429,0.7265788912773132,0.12152841687202454,0.17715798318386078,0.9898687601089478,0.7269397974014282,0.11953026801347733,0.17706726491451263,0.9911749362945557,0.7299535870552063,0.11633951216936111,-0.05100013315677643,0.997223973274231,0.7325551509857178,0.11636705696582794,0.25397545099258423,0.9933478236198425,0.7303855419158936,0.15541106462478638,0.10855928063392639,0.9978317022323608,0.7307287454605103,0.15626363456249237,0.19627916812896729,0.9964586496353149,0.7404696941375732,0.15410317480564117,-0.280061811208725,0.9999657273292542,0.7449973225593567,0.16258373856544495,0.3977104127407074,0.9997712969779968,0.7454441785812378,0.2757978141307831,-0.481021910905838,0.9584956169128418,0.7509861588478088,0.2778460383415222,0.50040602684021,0.16280895471572876,0.7419545650482178,0.32023030519485474,-0.49344900250434875,0.9309357404708862,0.7473729252815247,0.34272465109825134,0.4437304735183716,0.18441173434257507,0.7405279874801636,0.3374752402305603,-0.5484007596969604,0.9159911274909973,0.7463994026184082,0.3669024407863617,0.4501616656780243,0.18483473360538483,0.739983856678009,0.32987654209136963,-0.5315638780593872,0.9093329310417175,0.7455470561981201,0.3639533221721649,0.39880961179733276,0.1879713237285614,0.7405794858932495,0.3251526653766632,-0.484450101852417,0.8262323141098022,0.7456954717636108,0.3542783558368683,0.4165194630622864,0.1976609081029892,0.7580450177192688,0.4131886661052704,-0.2179454267024994,0.999531090259552,0.7564964294433594,0.41304028034210205,0.21781563758850098,0.9997490048408508,0.7583566308021545,0.5929423570632935,-0.2891203463077545,0.9888222813606262,0.762071967124939,0.579157829284668,0.13148723542690277,0.9787201285362244,0.7841096520423889,0.7059557437896729,-0.21665239334106445,0.9909763932228088,0.7785924673080444,0.7327684164047241,0.1762833148241043,0.9904155731201172,0.790837287902832,0.703339695930481,-0.21002276241779327,0.8798348903656006,0.783850908279419,0.7467854022979736,0.1755494326353073,0.9785212278366089,0.7821317315101624,0.8026997447013855,-0.3026064932346344,0.9861767292022705,0.7755763530731201,0.8041650056838989,0.0874943733215332,0.9873024225234985
4,0.7242750525474548,0.1347767859697342,0.03246293216943741,0.9973081350326538,0.7231598496437073,0.1153596043586731,-0.01732678897678852,0.9962064623832703,0.7232576012611389,0.11402516067028046,-0.017462383955717087,0.9963892698287964,0.7233704328536987,0.11289350688457489,-0.01754174195230007,0.9968973994255066,0.7234014868736267,0.11403394490480423,0.05343269184231758,0.993366539478302,0.7236655950546265,0.11188897490501404,0.05354819446802139,0.9907376766204834,0.723958432674408,0.10980132967233658,0.05344722047448158,0.9919053316116333,0.7263672351837158,0.10464987903833389,-0.1456829160451889,0.9974713325500488,0.7273373007774353,0.10076289623975754,0.16347959637641907,0.9937901496887207,0.7266781330108643,0.14088225364685059,-0.012577559798955917,0.9980129599571228,0.7268854975700378,0.14165884256362915,0.08009380102157593,0.9967206716537476,0.7379224300384521,0.1382284164428711,-0.3791431784629822,0.9999688863754272,0.7389166951179504,0.15245509147644043,0.3388417363166809,0.9997578263282776,0.7460516095161438,0.2376774251461029,-0.5127109885215759,0.9619678854942322,0.748045027256012,0.2608013153076172,0.443836510181427,0.1495446264743805,0.7429962754249573,0.3304422199726105,-0.4976833462715149,0.9357511401176453,0.7459967732429504,0.34983858466148376,0.36472588777542114,0.1695275753736496,0.742152988910675,0.3532262146472931,-0.5586206316947937,0.9208025336265564,0.7453222274780273,0.38066551089286804,0.3662983179092407,0.17106011509895325,0.7411713004112244,0.34878993034362793,-0.5442684292793274,0.9145434498786926,0.744686484336853,0.3794260025024414,0.31058815121650696,0.17408709228038788,0.7415211796760559,0.3394036293029785,-0.48787182569503784,0.8362632989883423,0.7447919845581055,0.36682823300361633,0.3340170681476593,0.18360301852226257,0.7577732801437378,0.39563605189323425,-0.22288602590560913,0.9995707869529724,0.7535715699195862,0.4097829759120941,0.22254611551761627,0.9997580647468567,0.7629103064537048,0.5948740243911743,-0.30075252056121826,0.9896628856658936,0.7524197697639465,0.5859981775283813,0.11303284019231796,0.9762555360794067,0.7875343561172485,0.6956402659416199,-0.13602489233016968,0.9914703369140625,0.7684714198112488,0.7445436716079712,0.2797241806983948,0.9893995523452759,0.792263388633728,0.6852520704269409,-0.1213110163807869,0.8890520930290222,0.7736238241195679,0.7646325826644897,0.28997400403022766,0.9756948351860046,0.7904528975486755,0.8018023371696472,-0.24098274111747742,0.986920177936554,0.7634016275405884,0.8095852136611938,0.18544554710388184,0.9861915111541748
5,0.7217448353767395,0.1425153613090515,-0.019135013222694397,0.9974458813667297,0.7209237217903137,0.12235566973686218,-0.06330425292253494,0.9964073300361633,0.7210577130317688,0.12070712447166443,-0.06345242261886597,0.9965948462486267,0.7212213277816772,0.11920953541994095,-0.0635392963886261,0.9970893859863281,0.7210636734962463,0.12111395597457886,0.0033525030594319105,0.9937132000923157,0.7212973833084106,0.11863686144351959,0.0034370271023362875,0.9912497401237488,0.7215773463249207,0.11615663021802902,0.003273729234933853,0.9923132658004761,0.7236982583999634,0.10945425182580948,-0.16844211518764496,0.9976462125778198,0.7242661118507385,0.10671564191579819,0.1378623992204666,0.9938236474990845,0.7240961194038391,0.1485065221786499,-0.05037997290492058,0.9981343150138855,0.7242192029953003,0.14903181791305542,0.03770175203680992,0.9967784285545349,0.7358179688453674,0.1402892917394638,-0.3636603057384491,0.9999716281890869,0.7341217994689941,0.16516044735908508,0.33543288707733154,0.9997337460517883,0.7441784739494324,0.23704038560390472,-0.5527752637863159,0.964693546295166,0.7425802946090698,0.2706063389778137,0.44478344917297363,0.1400924026966095,0.7416284084320068,0.3457689583301544,-0.6589460372924805,0.9402985572814941,0.7405778765678406,0.3810669183731079,0.3136295974254608,0.1669180542230606,0.7413424849510193,0.38388410210609436,-0.7377618551254272,0.9256970286369324,0.7404560446739197,0.41268306970596313,0.3079896569252014,0.17072243988513947,0.7400343418121338,0.3803028166294098,-0.7278397679328918,0.9198112487792969,0.7394722700119019,0.41389739513397217,0.2508314847946167,0.1740223467350006,0.74009108543396,0.37038126587867737,-0.6530381441116333,0.8462888598442078,0.7395922541618347,0.40010595321655273,0.2815256714820862,0.1829420030117035,0.755603551864624,0.38754549622535706,-0.21022304892539978,0.9996044635772705,0.7496036887168884,0.4103351831436157,0.20997950434684753,0.9997619986534119,0.7595978379249573,0.6002757549285889,-0.36096909642219543,0.9900020956993103,0.7491573095321655,0.5934662222862244,0.0652201697230339,0.9733303785324097,0.7849489450454712,0.6922698020935059,-0.1467657834291458,0.9912649393081665,0.765026330947876,0.7464841604232788,0.252218097448349,0.9871501326560974,0.78978431224823,0.6717488169670105,-0.12978005409240723,0.8933346271514893,0.7698035836219788,0.7699418663978577,0.26492181420326233,0.9704284071922302,0.7889865636825562,0.7935448884963989,-0.270281583070755,0.9864848852157593,0.7597797513008118,0.8121358156204224,0.1544606238603592,0.983742356300354
6,0.7219347953796387,0.1428193598985672,-0.0035757417790591717,0.9975685477256775,0.7211564183235168,0.12231046706438065,-0.04644590988755226,0.9965873956680298,0.7212754487991333,0.12044265866279602,-0.04662567377090454,0.996779203414917,0.721409797668457,0.11862120777368546,-0.04671488702297211,0.9972656965255737,0.7212575674057007,0.12129621207714081,0.02265881560742855,0.9940480589866638,0.7214561700820923,0.11877027153968811,0.022764772176742554,0.9917382597923279,0.7216959595680237,0.11626140773296356,0.022603079676628113,0.9927122592926025,0.7237309217453003,0.1087370291352272,-0.15114693343639374,0.9977995157241821,0.7239651083946228,0.10703137516975403,0.1653137356042862,0.9938820004463196,0.7242270708084106,0.14816634356975555,-0.034978486597537994,0.998233437538147,0.7242823839187622,0.1488257348537445,0.056039776653051376,0.996791422367096,0.7362527847290039,0.1381387561559677,-0.35336917638778687,0.9999741315841675,0.733461320400238,0.16974098980426788,0.3596361577510834,0.999712347984314,0.7448645830154419,0.23579299449920654,-0.5518561005592346,0.9673764109611511,0.7418159246444702,0.2795804738998413,0.46559956669807434,0.12984859943389893,0.7420971393585205,0.3475576639175415,-0.6428231000900269,0.9446480870246887,0.7400331497192383,0.3936753273010254,0.3240322768688202,0.1607876718044281,0.7416960000991821,0.38516759872436523,-0.7168470621109009,0.9303982853889465,0.7400749921798706,0.42070722579956055,0.3159666657447815,0.16661466658115387,0.7404017448425293,0.3817497789859772,-0.7056310176849365,0.9248429536819458,0.7394148707389832,0.4213109314441681,0.2515500783920288,0.1699257344007492,0.7404966354370117,0.37218889594078064,-0.635967493057251,0.8558002710342407,0.7392379641532898,0.41377443075180054,0.28920379281044006,0.17842696607112885,0.756578266620636,0.38576701283454895,-0.20706140995025635,0.9996366500854492,0.7495684623718262,0.41037994623184204,0.2068798840045929,0.9997678995132446,0.7598298788070679,0.6010376811027527,-0.38822126388549805,0.9900389313697815,0.7485393285751343,0.5954911112785339,0.0426582470536232,0.9667735695838928,0.7854744791984558,0.6940599083900452,-0.20222674310207367,0.9907424449920654,0.7651154398918152,0.7479665279388428,0.19589018821716309,0.9829643368721008,0.7900521159172058,0.6739296317100525,-0.18508483469486237,0.8972634077072144,0.7712162733078003,0.7656019330024719,0.204603374004364,0.9629698395729065,0.7900349497795105,0.790048360824585,-0.3185444474220276,0.9857665300369263,0.7606062889099121,0.8121857047080994,0.1000407412648201,0.97995525598526
7,0.722586989402771,0.1464775651693344,-0.1262204498052597,0.9973578453063965,0.7214647531509399,0.12647517025470734,-0.16295212507247925,0.9962958693504333,0.7215955257415771,0.12455765902996063,-0.16314098238945007,0.9966011047363281,0.7218406200408936,0.12264462560415268,-0.16325394809246063,0.9971803426742554,0.7214019894599915,0.125796377658844,-0.10355887562036514,0.9935819506645203,0.7214890718460083,0.12360654026269913,-0.10350509732961655,0.99118572473526,0.7216643691062927,0.12143227458000183,-0.10369090735912323,0.9921351075172424,0.7245447039604187,0.11233842372894287,-0.22443832457065582,0.9977410435676575,0.725307285785675,0.118674635887146,0.04969358071684837,0.9923691749572754,0.7250557541847229,0.1521722823381424,-0.1387629508972168,0.9981241822242737,0.7250009179115295,0.1523582488298416,-0.060080159455537796,0.996059775352478,0.7362449169158936,0.13962458074092865,-0.3725138306617737,0.9999764561653137,0.7333875894546509,0.17433862388134003,0.3200165033340454,0.999687910079956,0.7447683811187744,0.2350282520055771,-0.5784271955490112,0.9700621366500854,0.7407156229019165,0.31113600730895996,0.4251941740512848,0.12153133004903793,0.7417494058609009,0.3496502637863159,-0.7172131538391113,0.949262261390686,0.7379545569419861,0.43263208866119385,0.3061119019985199,0.16294041275978088,0.7415146827697754,0.38608917593955994,-0.7920635342597961,0.9358001351356506,0.7384073138237,0.45620399713516235,0.30203044414520264,0.17138983309268951,0.7399634718894958,0.3858281075954437,-0.7848176956176758,0.9306508302688599,0.7379716038703918,0.45842766761779785,0.2365729957818985,0.17494989931583405,0.7399739623069763,0.37601467967033386,-0.7110834121704102,0.8666272759437561,0.7371471524238586,0.4555456042289734,0.27208444476127625,0.18291708827018738,0.7565286755561829,0.3892575800418854,-0.2000730335712433,0.9996632933616638,0.7493476867675781,0.4123404622077942,0.19995710253715515,0.9997662305831909,0.756343424320221,0.6014845967292786,-0.3843785524368286,0.9904866814613342,0.7475737929344177,0.6006370186805725,0.018236124888062477,0.960261344909668,0.7835391163825989,0.6924167275428772,-0.30160561203956604,0.9911678433418274,0.7652572393417358,0.7515462636947632,0.12475971132516861,0.9806057810783386,0.7889145016670227,0.6719337701797485,-0.2984287440776825,0.9045385718345642,0.7701822519302368,0.7742112874984741,0.12992236018180847,0.9577274918556213,0.7886328101158142,0.7821477651596069,-0.43888577818870544,0.9863515496253967,0.7586535811424255,0.8181815147399902,0.006759376730769873,0.9780130386352539
8,0.7176370620727539,0.1468801647424698,-0.02932838909327984,0.9975098371505737,0.7167891263961792,0.1318734735250473,-0.07662444561719894,0.9965245723724365,0.7168734073638916,0.12993912398815155,-0.07675423473119736,0.9968081712722778,0.7170367240905762,0.12805691361427307,-0.07680804282426834,0.9973606467247009,0.7168653011322021,0.13124382495880127,-0.007493411656469107,0.9940379858016968,0.7170200943946838,0.12926509976387024,-0.007432160899043083,0.9918326139450073,0.7172519564628601,0.126857191324234,-0.007622546050697565,0.9927141666412354,0.7195616364479065,0.11693374067544937,-0.2085072547197342,0.9978832602500916,0.720101535320282,0.11889281123876572,0.10467340052127838,0.9928444623947144,0.7197824716567993,0.15407460927963257,-0.07132143527269363,0.9982418417930603,0.7198737859725952,0.15471158921718597,0.019082898274064064,0.9962657690048218,0.7320778369903564,0.14573043584823608,-0.3837529122829437,0.9999784231185913,0.7291331887245178,0.17907975614070892,0.3159750699996948,0.9997013211250305,0.7407545447349548,0.2561153173446655,-0.5717272758483887,0.9725587964057922,0.7363443970680237,0.3235960900783539,0.43533796072006226,0.11628618836402893,0.7356929779052734,0.40013357996940613,-0.6295866966247559,0.9535431265830994,0.7349754571914673,0.4420187175273895,0.3116863965988159,0.17263883352279663,0.7355591058731079,0.44414639472961426,-0.7069371938705444,0.9407743811607361,0.7339307069778442,0.49820050597190857,0.31360676884651184,0.18303771317005157,0.7345005869865417,0.42992663383483887,-0.6828997731208801,0.9360247254371643,0.7332987785339355,0.4812888205051422,0.243570014834404,0.18650373816490173,0.7343693375587463,0.4201158881187439,-0.6147132515907288,0.8768203258514404,0.733706533908844,0.4834589958190918,0.2776138484477997,0.19433455169200897,0.7531501650810242,0.39240720868110657,-0.21136212348937988,0.9996813535690308,0.7460877895355225,0.41595569252967834,0.2112685590982437,0.9997618198394775,0.7510735392570496,0.6054595708847046,-0.33096352219581604,0.9897128343582153,0.7467759251594543,0.6015238165855408,0.1847437173128128,0.9188389182090759,0.778750479221344,0.6905485391616821,-0.24592819809913635,0.9894857406616211,0.7666347026824951,0.735409677028656,0.31867915391921997,0.9527286887168884,0.7841311097145081,0.6675494909286499,-0.23461370170116425,0.9094187617301941,0.7717580199241638,0.7468328475952148,0.3265332281589508,0.9364782571792603,0.7824507355690002,0.7744016647338867,-0.2879010736942291,0.984143078327179,0.7618464231491089,0.8161423206329346,0.26318442821502686,0.9549062848091125
9,0.7178086042404175,0.15023046731948853,0.1402304321527481,0.99737948179245,0.7168058156967163,0.13570700585842133,0.09363985806703568,0.9965048432350159,0.7168129086494446,0.1342848688364029,0.09356898069381714,0.9967601895332336,0.7168733477592468,0.13293807208538055,0.09349792450666428,0.9973623752593994,0.7171468138694763,0.13343891501426697,0.15611441433429718,0.9942029714584351,0.7174006700515747,0.1305440068244934,0.15614467859268188,0.9920498728752136,0.7177262306213379,0.1271180510520935,0.15594591200351715,0.9929762482643127,0.7189138531684875,0.1237364262342453,-0.04219868406653404,0.9978712201118469,0.7208607792854309,0.1228431835770607,0.2400793731212616,0.9929588437080383,0.7200027704238892,0.15763989090919495,0.09872031211853027,0.9979897141456604,0.7202837467193604,0.1555684357881546,0.18032611906528473,0.995857298374176,0.7300283908843994,0.14829955995082855,-0.2797878086566925,0.9999799728393555,0.7295476198196411,0.17911721765995026,0.42977896332740784,0.9996918439865112,0.7410087585449219,0.25728994607925415,-0.5004298090934753,0.9744212627410889,0.7357598543167114,0.31829750537872314,0.5388696789741516,0.10948367416858673,0.7353324294090271,0.3815059959888458,-0.5818545818328857,0.9564722776412964,0.7307744026184082,0.4340023398399353,0.4283565878868103,0.1716969609260559,0.7349340319633484,0.41625553369522095,-0.6525396704673767,0.9438632726669312,0.7287889122962952,0.4756336808204651,0.4393179714679718,0.18370364606380463,0.7339233160018921,0.414176881313324,-0.6238635182380676,0.9393239617347717,0.7267765402793884,0.4653971791267395,0.37237176299095154,0.18705125153064728,0.7343770265579224,0.4070384204387665,-0.567466139793396,0.8830173015594482,0.7281538844108582,0.4539405405521393,0.395639568567276,0.19458414614200592,0.7512707114219666,0.39318856596946716,-0.2271910309791565,0.9996861815452576,0.7480102777481079,0.4091396927833557,0.2271411269903183,0.9997403025627136,0.7470623254776001,0.6046409606933594,-0.32065436244010925,0.9893826842308044,0.7468692660331726,0.6007235050201416,0.13807785511016846,0.8701125383377075,0.773053765296936,0.6914195418357849,-0.31791841983795166,0.9882618188858032,0.7679317593574524,0.7163238525390625,0.19080574810504913,0.9222654104232788,0.7801901698112488,0.6727241277694702,-0.31647640466690063,0.9152033925056458,0.7741831541061401,0.7357455492019653,0.19707228243350983,0.9144732356071472,0.7750266194343567,0.780128002166748,-0.35099300742149353,0.9826138615608215,0.762831449508667,0.7996982336044312,0.11165876686573029,0.9292707443237305
